Country,Count
Spain,128
Brazil,104
France,88
England,70
Germany,68
Italy,61
Argentina,53
Portugal,53
Netherlands,34
Belgium,26
Croatia,17
Uruguay,17
Colombia,14
Serbia,13
Austria,13
Denmark,13
C̫te d'Ivoire,11
Switzerland,11
Senegal,10
Nigeria,10
Morocco,9
Turkey,9
Czech Republic,8
Mexico,8
Sweden,7
Poland,7
United States,6
Chile,6
Cameroon,6
Algeria,6
Japan,6
Mali,5
Slovakia,5
Scotland,5
Greece,4
Norway,4
Ukraine,4
Ecuador,3
Slovenia,3
Ghana,3
Hungary,3
Bosnia and Herzegovina,3
Korea Republic,3
Egypt,2
Togo,2
Russia,2
Montenegro,2
Canada,2
Georgia,2
Iran,2
Jamaica,2
Albania,2
North Macedonia,2
Kosovo,2
Peru,2
Central African Republic,1
Gabon,1
Costa Rica,1
Finland,1
Northern Ireland,1
Libya,1
Burkina Faso,1
Mozambique,1
Guinea,1
Paraguay,1
Armenia,1
Congo DR,1
Tunisia,1
Australia,1
Wales,1
Saudi Arabia,1
Suriname,1
Republic of Ireland,1
Angola,1
Trinidad and Tobago,1
