country,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Burkina Faso,Cameroon,Canada,Central African Republic,Chile,Colombia,Congo DR,Costa Rica,Croatia,Czech Republic,C̫te d'Ivoire,Denmark,Ecuador,Egypt,England,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Hungary,Iran,Italy,Jamaica,Japan,Korea Republic,Kosovo,Libya,Mali,Mexico,Montenegro,Morocco,Mozambique,Netherlands,Nigeria,North Macedonia,Northern Ireland,Norway,Paraguay,Peru,Poland,Portugal,Republic of Ireland,Russia,Saudi Arabia,Scotland,Senegal,Serbia,Slovakia,Slovenia,Spain,Suriname,Sweden,Switzerland,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United States,Uruguay,Wales
England,1,2,0,7,0,0,1,6,0,23,0,1,0,0,0,4,0,0,4,2,4,4,1,1,62,0,14,1,0,5,1,1,1,0,0,4,2,1,2,0,0,3,1,0,2,0,7,3,0,1,2,1,0,2,18,1,0,0,4,5,1,1,0,14,0,4,5,0,0,0,1,3,4,2,1
France,0,1,0,2,0,0,0,1,0,7,0,1,1,0,2,0,1,1,2,0,3,1,0,0,1,0,35,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,7,0,0,2,0,0,0,1,1,0,0,0
Germany,0,1,0,1,0,0,8,4,0,1,1,1,1,0,2,1,0,0,4,3,1,3,1,0,2,1,14,0,0,51,0,1,0,3,1,1,0,3,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,2,1,1,4,1,0,1,1,0,0,0,0
Italy,1,1,0,10,1,0,1,3,2,50,0,3,0,0,0,3,0,0,4,1,1,1,0,0,3,0,9,0,1,2,0,0,0,0,0,51,0,0,1,1,0,0,2,1,0,0,7,2,1,0,0,0,0,3,5,0,1,0,0,1,7,2,1,4,0,1,0,0,0,0,1,0,1,1,0
Netherlands,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Portugal,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0
Spain,0,0,0,17,0,0,1,5,0,10,0,0,0,1,1,1,0,0,2,0,1,3,0,0,0,0,13,0,1,3,2,0,0,0,0,1,0,0,0,1,0,0,3,1,3,1,4,2,1,0,0,0,1,1,2,0,0,0,0,1,4,0,1,93,0,0,0,1,0,0,1,0,0,8,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Turkey,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,3,0
Unknown,0,0,1,10,0,0,0,5,0,3,0,0,0,0,1,4,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
TOTAL,2,6,1,53,1,1,13,26,3,104,1,6,2,1,6,14,1,1,17,8,11,13,3,2,70,1,88,1,2,68,3,4,1,3,2,61,2,6,3,2,1,5,8,2,9,1,34,10,2,1,4,1,2,7,53,1,2,1,5,10,13,5,3,128,1,7,11,2,1,1,9,4,6,17,1
